C:\Users\USER\anaconda3\envs\rl_3.9\python.exe C:\Users\USER\anaconda3\envs\rl_3.9\Project#2\pong_ppo.py 
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 1770, Total Reward: 11.00
Episode 1780, Total Reward: 6.00
Episode 1790, Total Reward: 9.00
Episode 1800, Total Reward: 5.00
Episode 1810, Total Reward: 8.00
Episode 1820, Total Reward: -5.00
Episode 1830, Total Reward: 6.00
Episode 1840, Total Reward: 7.00
Episode 1850, Total Reward: 9.00
Episode 1860, Total Reward: -7.00
Episode 1870, Total Reward: -13.00
Episode 1880, Total Reward: 8.00
Episode 1890, Total Reward: 12.00
Episode 1900, Total Reward: 12.00
Episode 1910, Total Reward: 10.00
Episode 1920, Total Reward: 5.00
Episode 1930, Total Reward: 6.00
Episode 1940, Total Reward: -3.00
Episode 1950, Total Reward: 2.00
Episode 1960, Total Reward: 1.00
Episode 1970, Total Reward: 8.00
Episode 1980, Total Reward: 7.00
Episode 1990, Total Reward: 4.00
Episode 2000, Total Reward: 2.00
Episode 2010, Total Reward: 11.00
Episode 2020, Total Reward: 9.00
Episode 2030, Total Reward: 9.00
Episode 2040, Total Reward: -1.00
Episode 2050, Total Reward: 4.00
Episode 2060, Total Reward: 8.00
Episode 2070, Total Reward: 10.00
Episode 2080, Total Reward: 5.00
Episode 2090, Total Reward: 8.00
Episode 2100, Total Reward: 6.00
Episode 2110, Total Reward: 1.00
Episode 2120, Total Reward: 10.00
Episode 2130, Total Reward: 10.00
Episode 2140, Total Reward: 17.00
Episode 2150, Total Reward: 7.00
Episode 2160, Total Reward: 12.00
Episode 2170, Total Reward: 12.00
Episode 2180, Total Reward: 3.00
Episode 2190, Total Reward: 6.00
Episode 2200, Total Reward: 1.00
Episode 2210, Total Reward: 4.00
Episode 2220, Total Reward: 6.00
Episode 2230, Total Reward: 4.00
Episode 2240, Total Reward: 3.00
Episode 2250, Total Reward: 3.00
Episode 2260, Total Reward: -2.00
Episode 2270, Total Reward: -6.00
Episode 2280, Total Reward: 1.00
Episode 2290, Total Reward: 7.00
Episode 2300, Total Reward: 13.00
Episode 2310, Total Reward: 11.00
Episode 2320, Total Reward: 8.00
Episode 2330, Total Reward: 7.00
Episode 2340, Total Reward: 12.00
Episode 2350, Total Reward: 5.00
Episode 2360, Total Reward: 4.00
Episode 2370, Total Reward: 7.00
Episode 2380, Total Reward: 5.00
Episode 2390, Total Reward: 9.00
Episode 2400, Total Reward: 10.00
Episode 2410, Total Reward: 15.00
Episode 2420, Total Reward: 6.00
Episode 2430, Total Reward: -1.00
Episode 2440, Total Reward: 10.00
Episode 2450, Total Reward: 8.00
Episode 2460, Total Reward: -12.00
Episode 2470, Total Reward: 10.00
Episode 2480, Total Reward: 3.00
Episode 2490, Total Reward: -13.00
Episode 2500, Total Reward: 13.00
Episode 2510, Total Reward: 3.00
Episode 2520, Total Reward: 8.00
Episode 2530, Total Reward: -12.00
Episode 2540, Total Reward: 13.00
Episode 2550, Total Reward: 1.00
Episode 2560, Total Reward: 6.00
Episode 2570, Total Reward: 13.00
Episode 2580, Total Reward: 10.00
Episode 2590, Total Reward: 12.00
Episode 2600, Total Reward: 11.00
Episode 2610, Total Reward: 12.00
Episode 2620, Total Reward: 6.00
Episode 2630, Total Reward: -15.00
Episode 2640, Total Reward: 14.00
Episode 2650, Total Reward: -19.00
Episode 2660, Total Reward: 12.00
Episode 2670, Total Reward: 10.00
Episode 2680, Total Reward: 10.00
Episode 2690, Total Reward: 14.00
Episode 2700, Total Reward: 15.00
Episode 2710, Total Reward: 9.00
Episode 2720, Total Reward: 12.00
Episode 2730, Total Reward: 10.00
Episode 2740, Total Reward: 15.00
Episode 2750, Total Reward: 13.00
Episode 2760, Total Reward: 11.00
Episode 2770, Total Reward: 10.00
Episode 2780, Total Reward: 12.00
Episode 2790, Total Reward: 16.00
Episode 2800, Total Reward: 10.00
Episode 2810, Total Reward: 15.00
Episode 2820, Total Reward: 18.00
Episode 2830, Total Reward: 11.00
Episode 2840, Total Reward: 15.00
Episode 2850, Total Reward: 3.00
Episode 2860, Total Reward: 13.00
Episode 2870, Total Reward: 13.00
Episode 2880, Total Reward: 6.00
Episode 2890, Total Reward: 12.00
Episode 2900, Total Reward: 15.00
Episode 2910, Total Reward: -10.00
Episode 2920, Total Reward: -17.00
Episode 2930, Total Reward: 14.00
Episode 2940, Total Reward: 12.00
Episode 2950, Total Reward: 18.00
Episode 2960, Total Reward: 14.00
Episode 2970, Total Reward: 12.00
Episode 2980, Total Reward: 10.00
Episode 2990, Total Reward: -11.00
Episode 3000, Total Reward: -12.00
Episode 3010, Total Reward: 15.00
Episode 3020, Total Reward: 8.00
Episode 3030, Total Reward: 9.00
Episode 3040, Total Reward: 4.00
Episode 3050, Total Reward: 9.00
Episode 3060, Total Reward: 13.00
Episode 3070, Total Reward: 14.00
Episode 3080, Total Reward: 7.00
Episode 3090, Total Reward: 4.00
Episode 3100, Total Reward: 13.00
Episode 3110, Total Reward: 14.00
Episode 3120, Total Reward: -4.00
Episode 3130, Total Reward: 12.00
Episode 3140, Total Reward: 17.00
Episode 3150, Total Reward: 15.00
Episode 3160, Total Reward: 17.00
Episode 3170, Total Reward: 12.00
Episode 3180, Total Reward: 13.00
Episode 3190, Total Reward: 8.00
Episode 3200, Total Reward: 18.00
Episode 3210, Total Reward: 11.00
Episode 3220, Total Reward: 14.00
Episode 3230, Total Reward: 12.00
Episode 3240, Total Reward: 15.00
Episode 3250, Total Reward: 16.00
Episode 3260, Total Reward: 13.00
Episode 3270, Total Reward: 17.00
Episode 3280, Total Reward: 14.00
Episode 3290, Total Reward: 15.00
Episode 3300, Total Reward: -18.00
Episode 3310, Total Reward: 14.00
Episode 3320, Total Reward: 14.00
Episode 3330, Total Reward: 13.00
Episode 3340, Total Reward: 11.00
Episode 3350, Total Reward: 18.00
Episode 3360, Total Reward: 18.00
Episode 3370, Total Reward: 15.00
Episode 3380, Total Reward: 16.00
Episode 3390, Total Reward: 3.00
